Step 7: Joint Support Tags
Sequence | Max Force
2670       | 5.43    
2670       | 33.28   
2670       | 0.40    
2670       | 9.39    
2670       | 0.04    
2670       | 39.56   
2670       | 0.01    
2670       | 9.17    
2670       | 0.04    
2670       | 55.28   
2670       | 6.24    
2670       | 0.04    
2670       | 6.31    
2670       | 39.17   
2670       | 0.02    
2670       | 12.05   
2670       | 0.02    
2670       | 21.07   
2670       | 2.41    
2670       | 4.76    
2670       | 0.06    
2670       | 9.47    
2670       | 0.08    
2670       | 3.47    
2670       | 0.08    
2670       | 23.63   
2670       | 2.03    
2670       | 5.50    
2670       | 0.03    
2670       | 28.40   
2670       | 3.22    
2670       | 6.13    
2670       | 0.07    
2670       | 10.51   
2670       | 0.04    
2670       | 4.34    
2670       | 0.09    
2690       | 41.31   
2690       | 42.48   
2690       | 16.30   
2690       | 16.97   
2690       | 39.92   
2690       | 40.94   
2690       | 9.27    
2690       | 9.90    
2690       | 0.12    
2690       | 16.52   
2690       | 17.19   
2690       | 29.19   
2690       | 29.83   
2690       | 28.63   
2690       | 29.61   
2700       | 27.04   
2700       | 1.63    
2700       | 25.26   
2700       | 0.88    
2700       | 11.12   
2700       | 0.92    
2700       | 10.06   
2700       | 0.63    
2700       | 27.38   
2700       | 1.18    
2700       | 26.44   
2700       | 0.40    
2700       | 5.52    
2700       | 0.82    
2700       | 7.62    
2700       | 0.65    
2700       | 7.89    
2700       | 1.47    
2700       | 10.19   
2700       | 0.71    
2700       | 12.06   
2700       | 0.40    
2700       | 19.33   
2700       | 1.25    
2700       | 17.59   
2700       | 0.72    
2700       | 18.91   
2700       | 1.26    
2700       | 17.63   
2700       | 0.74    
2710       | 50.01   
2710       | 13.61   
2710       | 24.65   
2710       | 7.24    
2710       | 44.22   
2710       | 17.90   
2710       | 17.61   
2710       | 6.87    
2710       | 28.49   
2710       | 20.30   
2710       | 6.09    
2710       | 37.37   
2710       | 9.72    
2710       | 36.77   
2710       | 9.66    
2720       | 25.62   
2720       | 34.25   
2720       | 9.31    
2720       | 14.47   
2720       | 29.51   
2720       | 34.41   
2720       | 4.64    
2720       | 9.07    
2720       | 4.11    
2720       | 11.13   
2720       | 14.57   
2720       | 17.77   
2720       | 24.41   
2720       | 17.40   
2720       | 24.19   
2730 & 2735 | 33.67   
2730 & 2735 | 11.53   
2730 & 2735 | 4.78    
2730 & 2735 | 44.01   
2730 & 2735 | 16.74   
2730 & 2735 | 6.21    
